Card 1,Card 2,Card 3,Card 4,Card 5,Hand Type
3h,Jc,Jd,Qc,2d,1
4h,7h,7c,2h,5d,1
Ac,7d,Qs,9d,3c,0
6d,2s,8s,Jc,9h,0
4d,6s,5c,8s,6c,1
9c,Ts,9s,4s,Qh,1
Jd,Th,2s,4c,Jc,1
9s,3d,4s,4h,Ks,1
7h,3s,4d,9c,Ks,0
8c,9c,9s,9h,Jd,3
Jh,4d,6d,4h,2c,1
7d,5h,Td,2s,7c,1
7s,7d,Qd,Tc,Jh,1
Td,4s,7d,4c,5d,1
2d,8h,Ah,9h,4h,0
Kd,Qc,9h,Qs,2d,1
2h,8s,Jh,As,4h,0
5d,Jc,2s,7s,7d,1
Qd,Kd,As,Qc,7h,1
4d,Ad,Qc,Jc,Qd,1
Kc,Ah,Kh,Jc,6s,1
Kd,9h,2h,6d,Qs,0
3c,Ad,6d,3d,Kc,1
6c,Kh,Jd,Kc,Qs,1
3h,Qh,8c,Ad,6s,0
5d,2d,9h,6s,4h,0
2d,8c,5c,Ks,Qd,0
8s,5c,Kd,2d,Qd,4
Jh,4c,Ah,Js,Jc,3
Kd,6h,Ks,2h,Qs,1
7d,5s,Kc,Ah,5c,1
Ts,8d,9d,Ac,5d,0
Ac,5c,9s,Qc,Jh,0
Jh,7d,7h,Td,8c,1
Th,7c,6d,6h,Td,2
7c,6c,Jc,7h,Qs,1
6s,4s,2c,8d,Qc,0
4c,8h,Jc,Jd,7s,1
3h,4s,2d,As,Ah,1
2h,6s,2s,Td,9c,1
Td,Jd,8h,6c,Kd,0
6d,Tc,Td,Ad,8s,1
4h,6c,Tc,9d,5c,0
6h,Ac,Ad,Jc,2h,1
6s,7h,Th,Jd,3h,0
2s,5c,Jd,9h,Ts,0
4d,4h,As,Ks,4c,3
7s,5d,Qd,7h,Ad,1
Td,Jd,Th,Qc,3s,1
8d,6s,7d,Jd,8s,1
Ks,6c,9d,5h,Tc,0
6h,7c,2c,4d,5s,0
Ad,9c,5c,Kh,Th,0
6c,3s,Jh,Tc,7h,0
Ks,9h,Ad,Qd,2c,0
8h,Ks,2d,Kd,Qc,1
Qc,3s,8s,Qh,Ts,1
4s,3d,3c,6d,9d,1
6d,Jd,4s,Kh,9h,0
3h,Jc,Qh,9c,2d,0
Qd,9d,8d,8s,Qs,2
8c,4d,7s,7c,9d,1
3h,4h,5s,2h,2s,1
5d,Ac,8h,Ts,Ah,1
2d,Qd,Jh,Th,8d,0
3c,8h,2c,7c,Qh,0
8s,Qs,As,5h,Jh,0
Ks,8s,6s,6d,Kc,2
4d,5h,9s,5c,2d,1
6h,7h,As,3c,Qd,0
4d,7h,8d,Qc,6c,0
5d,Ks,Qh,Js,4d,0
6d,3c,8h,9s,Th,4
6s,9d,Kc,Ts,9c,1
3d,Kd,2h,5h,Td,0
Ah,Ad,7h,7d,Ks,2
Kc,6d,6h,3d,Ts,1
6c,Qc,3s,6d,4d,1
Ac,Qd,6c,7h,5s,0
4c,3d,8c,Jd,5d,0
6h,3h,5h,Qc,5c,1
5h,6h,7d,Qd,8h,0
Qs,8c,9s,8h,7s,1
3c,2d,Ts,2s,3h,2
7h,9h,4s,Ac,4d,1
8h,Jd,Kh,6h,4d,0
7h,4c,8s,Ah,As,1
Js,9c,2h,Qs,6h,0
3s,Jc,5s,8c,9h,0
3h,Jc,5s,Qd,Ah,0
7h,Jd,Qc,8c,4d,0
8s,2d,4c,7h,2c,1
Jh,Tc,8d,Qh,9c,0
8c,4s,5c,9c,3h,0
Qh,6d,Ad,Kd,2h,0
7h,3c,5d,2s,5c,1
4c,Jh,Ac,4h,2h,1
5h,Kc,Qs,Kh,3d,1
9s,2h,8d,8c,2s,2
Kh,8s,Qs,5h,Jd,0
8h,4d,7c,4s,Ac,1
Ad,Kd,5d,As,9d,1
7d,5s,5h,5c,Th,3
Tc,Qd,2c,As,6h,0
Qc,3c,9d,6s,8h,0
6h,7d,Kd,Js,Jc,1
7s,5d,Kh,7c,Ad,1
7h,4h,4c,Tc,5h,1
Ac,8h,Kd,5s,2c,0
4s,4c,Tc,Th,Jd,2
Ts,9d,9h,4c,6d,1
9s,Jh,As,9d,Js,2
Ts,7d,4c,7s,Ah,1
6d,Jh,5c,2d,Ah,0
8c,5s,2c,5d,Qd,1
9c,8h,Kd,5c,Qh,0
9d,Js,4s,5d,2c,0
Jh,8c,Kc,2s,As,0
9d,Tc,9c,7s,Qc,1
8c,Qc,8d,Ad,5s,1
3h,5c,Qd,6h,6d,1
Js,6h,8d,Tc,6d,1
Ah,6d,9c,Jh,8c,0
5s,6c,8d,Td,Ad,0
4d,4s,Kc,As,5s,1
4c,2s,3h,Th,Jh,0
3h,6h,5s,7s,7h,1
Kd,5c,4h,4s,Jh,1
2h,Jc,5h,7h,3h,0
8h,4h,Kh,6h,Tc,0
9h,As,5c,7h,Qh,0
7s,3s,Ks,8s,Qs,5
9c,8s,Qh,8d,As,1
Js,5c,5d,Kh,Ah,1
8s,7h,8d,2s,3c,1
9c,4s,3d,Qd,Th,0
Th,5h,Qd,6h,3c,0
Ah,2d,8d,Jc,Ks,0
As,7s,Td,8d,6s,0
7c,5c,As,6c,Qc,0
9d,7d,Td,8c,Ks,4
8d,Ts,4c,3s,9s,0
4c,7h,9h,8c,7c,1
4s,Tc,Qc,7d,Ts,1
8c,Js,4s,3s,Jh,1
Jc,3d,Qs,2h,Qd,1
4h,5h,7d,Js,5c,1
4h,8c,9c,Qs,Kd,0
6h,8s,4h,7h,9h,0
Jd,Jh,Kh,Qc,9c,1
Jd,4s,Jh,Ks,3d,1
8h,4c,7h,5h,4d,1
8d,Jh,2d,8s,2c,2
Qs,5d,9c,Qd,5c,2
Qh,6d,Ad,2h,Td,0
Kh,6d,5d,Kd,9d,1
8h,9c,5d,Qc,Ts,0
2h,3h,4h,8c,5c,0
8h,Qs,6d,3d,As,0
7c,Qd,7s,8c,Ac,1
5d,Tc,Jd,9h,Kc,0
4s,3h,Qs,Ks,Jd,0
7h,7s,2s,2c,Js,2
Ad,4h,4d,6s,9s,1
2s,Kd,4h,8d,Kc,1
Ah,8h,9c,Td,Kh,0
4s,8s,8d,7h,6h,1
3h,2d,Ts,8c,Qc,0
8d,Ac,3h,4h,Qh,4
4c,3d,4s,Ad,3s,2
Ac,As,8d,4d,8h,2
9h,Jc,Td,Qd,6c,0
Td,8c,Qh,2h,Jd,0
6d,Jd,Jc,3s,2h,1
2d,Ts,6d,Qs,Qh,1
6d,Ac,Th,Kh,6c,1
6c,5s,3h,7s,As,0
5h,2h,9s,8h,5s,1
2s,2h,Ts,4c,Qc,1
Ah,8s,9d,7s,7d,1
8d,5h,8c,Jh,3h,1
4s,4c,3h,3s,5c,2
9c,Qc,7h,7c,2h,1
8d,8h,2h,7c,Qd,1
8s,9h,Ks,9s,Qd,1
Jc,Ah,6h,7d,Kc,0
Jd,Kc,8h,3d,Ad,0
7d,2c,9h,8c,Kd,0
2d,Ah,Kc,5s,Kd,1
4d,4h,Jh,3h,Ah,1
2s,Qs,Ts,9s,5c,0
9c,Jd,8c,2h,Ts,0
9s,Kh,Kd,6d,7d,1
Th,3h,6d,8d,5d,0
Qh,7h,Jd,8s,Ts,0
5s,3c,5h,5d,7s,3
6h,6s,3s,2c,8c,1
8d,Ks,5h,5c,6c,1
9c,7s,6h,Jh,2d,0
9s,2c,3c,Qs,9h,1
Ts,9h,8c,Td,Ks,1
5c,8h,9h,7h,Kc,0
Ts,Jh,Jd,Ah,4h,1
Kh,Kd,Ah,Ad,5c,2
As,Ad,5d,7s,Qc,1
Kd,6d,Qh,Td,6s,1
4h,4d,Kc,Tc,9h,1
Qc,Kd,As,3s,5c,0
5h,Tc,4h,6s,5c,1
7c,8s,Qs,5h,5c,1
9s,Jd,3d,2c,7h,0
4c,Qd,5c,Kd,Js,0
7h,6d,9d,Jh,9s,1
Qh,8d,2s,As,Th,0
Ac,Js,6d,6s,Ah,2
9h,Ah,Js,6c,6h,1
4d,8s,2h,Jc,Ad,0
Jh,7c,4d,7s,7h,3
Ac,Th,4d,8s,2h,0
5c,Qs,4h,9d,9s,1
2d,4s,8c,7c,Qs,0
2d,2c,8c,6h,5s,1
Qc,3s,Jd,4d,Ah,0
Kh,Tc,5c,Ts,4s,1
8h,9d,2c,2s,Qd,1
Qd,2c,Th,5c,6d,0
Js,5h,4d,Kh,3d,0
8h,9d,Ad,5d,7c,0
4s,Qc,Kh,3s,Kd,1
8c,5d,5h,2d,9d,1
Qs,Ac,Qh,9c,8c,1
4c,5s,9d,Qc,5h,1
5h,Qd,Qh,3h,5d,2
3c,Th,7h,Ah,Ac,1
6h,Qd,5h,Tc,Kh,0
Qc,Ts,Kc,7h,5c,0
4h,Kc,Tc,7d,Jd,0
3d,Qs,3s,Qc,Ac,2
Ah,3h,8h,4h,6d,0
Js,6s,2c,4d,9c,0
5s,Ac,Ah,9d,Ts,1
2c,Qs,Jd,4h,Td,0
9h,3s,Kh,8h,3h,1
6c,Jh,5c,9d,8s,0
Kh,4c,7d,Ad,4s,1
8c,6h,Th,6s,4c,1
5h,Jh,8s,7d,8d,1
4c,2s,6d,As,Qs,0
Kh,Ks,5c,4c,Ts,1
7s,3d,4c,9c,Ts,0
3c,7c,3s,3d,Kd,3
Qs,Kh,6h,Qd,7d,1
9c,Qh,2s,4h,3h,0
3s,5s,5h,Ts,4s,1
Qd,6c,6s,Jc,4d,1
7c,4c,Th,Kh,5d,0
9s,5d,Ks,7h,8h,0
7c,Jh,7h,5d,8h,1
Qd,7d,6h,9d,6s,1
As,Qh,Tc,Kd,8s,0
4c,9s,Jd,4s,Qh,1
4s,6d,8c,4h,9d,1
4c,Qd,Jc,4h,6s,1
Td,Kc,9c,3s,6c,0
8s,3c,Qh,6c,9d,0
9s,Qh,Td,8d,Kd,4
Ad,9h,Th,8s,6c,0
2c,9s,7s,Qc,Kc,0
As,Qh,8s,9c,Jc,0
8d,Ad,2d,2h,3s,1
Tc,Kh,Js,9d,3d,0
Qc,2c,2d,Js,7d,1
8d,Qs,Jc,5d,4d,0
5d,7s,7h,4s,Tc,1
8s,2c,Jh,8h,9d,1
4s,5h,As,5s,Jd,1
Qc,6h,2c,2d,Kh,1
7d,7h,4d,Kh,2c,1
8d,6c,Ah,7c,Jc,0
9h,Jd,9s,5d,Ks,1
4h,8d,4c,Tc,9h,1
7s,7d,Qc,7h,4s,3
Ks,Th,5c,Jd,Tc,1
Ts,6d,9h,Td,3d,1
4d,5s,Ah,7d,5h,1
8d,7h,2s,9h,5h,0
Ah,7s,8s,5h,6s,0
3h,Ks,As,Qd,9h,0
Td,4s,Qs,7d,6h,0
Js,Th,Ad,9s,8s,0
Jd,5s,4s,Js,Ts,1
Js,Kh,Ks,Qh,Tc,1
5s,Qd,Ts,2h,4h,0
Js,6s,Qs,Jd,Ts,1
5c,Jh,2c,4c,8c,0
2d,4c,Qd,Ts,6h,4
7s,5d,Jc,Td,2s,0
9h,Ks,4c,6d,8d,0
Ad,Kd,Ks,3s,9s,1
Qs,6d,8d,7d,Qc,1
5d,9c,2s,6s,9h,1
6s,Qc,As,Ac,9c,1
Qd,6s,8c,3d,Tc,0
2d,Ac,6d,6h,3h,1
2d,6s,8d,Jd,2s,1
Tc,As,2s,3c,Qd,0
Jc,Qc,8c,As,5h,0
4d,4h,As,8s,2c,1
3s,3c,Th,Kh,Jc,1
7s,Ac,Ad,Ks,Qh,1
6c,2d,2s,3c,7c,1
Qh,Qs,3c,7c,Th,1
8d,5h,Ac,7c,9h,0
8d,4h,9d,7s,3s,0
As,7h,7s,4h,6h,1
3h,Kc,4c,8d,7c,4
6d,Qs,6c,7d,2d,1
3h,4s,4h,Kd,Th,1
2s,Td,7s,4s,Ts,1
7s,7c,Ad,2h,Ks,1
Qc,Ts,4h,Jh,7d,0
7s,8s,6s,Kd,Th,0
5d,2c,Kh,Tc,8c,0
Qc,9h,Qd,Kc,Jc,1
Jc,Ac,Kc,8h,Ah,1
Qs,Kd,9h,7c,2d,0
4h,Qh,5d,Th,8h,4
7d,Ks,7h,7c,Qh,3
Kd,2h,5h,Jd,Ts,0
6c,5s,2h,6d,9d,1
8c,2c,8d,3c,Kh,1
Ts,4d,Jc,Kh,9s,0
2c,5h,5c,8c,6h,1
Jc,Qh,Ts,9d,2d,0
As,2c,Kd,Qs,7c,0
6h,Ks,6d,9s,Ad,1
7d,Kc,7h,2h,Ac,1
Ts,7h,Th,9c,2s,1
Jd,Td,5h,3d,6h,0
4c,Kc,2h,9h,Ks,1
As,2h,Kc,Tc,Td,1
Th,3c,9d,Ks,3h,1
6d,Kh,2d,As,Qd,0
Jc,5c,Ts,8s,Qs,0
2s,Ks,7s,8d,6c,4
Kh,2s,Qd,Kc,Qc,2
Js,3d,5c,9d,Jd,1
Ad,9s,5d,Th,8d,0
Qd,2s,4h,8s,Tc,0
Qc,5c,Ac,6c,7d,0
Qs,Js,4c,5c,3s,0
8c,5c,9s,Kh,Kc,1
8h,Th,2s,9s,3s,0
6s,Js,Qd,Kd,7s,0
5c,Td,Ah,Ac,3h,1
3c,Ts,Qs,5h,7h,4
5d,9c,6s,2c,5h,1
5s,Qs,Td,Ad,6c,0
6s,Th,Jh,3s,Ah,0
Js,Ks,3h,2h,Tc,0
3h,Th,Ks,3s,4s,1
6d,4c,Kc,7d,2d,0
3s,7h,9h,9s,Qc,1
5h,4c,7h,Js,9c,4
8h,3c,9h,Ah,Qc,4
9s,Jc,Tc,4d,Qs,0
7h,6d,5d,2s,2d,1
Ah,Ad,3d,2c,Kc,1
Qh,7s,Ah,5s,Th,0
Ac,Kd,8s,Ah,7c,1
Qs,6d,Tc,Ah,Jd,0
As,Ks,Ts,Ad,3d,1
Th,2h,5s,4h,Jh,0
9d,Ah,9h,6s,6h,2
5h,8d,5d,6h,4c,1
Td,5s,Jc,7h,5c,1
Td,Ks,4h,8h,Kh,1
3h,3d,2d,2s,Qh,2
8c,9h,Th,7d,3s,0
Th,7h,Td,3s,7c,2
5h,Kc,9d,9h,3c,1
Ts,2s,2h,5h,3c,1
Qs,6s,Ts,7h,Td,1
Ks,5h,9c,Qh,7s,0
Qc,Ts,8s,3d,Kc,0
7h,4d,3h,6d,3c,1
9s,5d,8c,Kh,Ks,1
Ac,8c,2d,4h,3s,0
8h,2h,6s,6c,3d,1
3d,As,3s,8d,Ad,2
Kd,6c,As,Ac,Kh,2
3h,Ts,Qd,8h,Ks,0
8d,7d,8s,Td,5d,1
2h,9c,6c,2c,4d,1
Kd,9h,6d,Ac,7c,0
3c,2s,Qc,7s,9d,0
Ad,4d,2d,8h,Jh,0
6c,2d,Qd,Jc,2s,1
Tc,Kd,Jc,As,5c,0
4h,6c,5h,Td,Kh,0
5h,Tc,6d,Kh,9d,4
9d,Kd,6c,Ks,Ad,1
7s,8h,9h,3d,2c,0
4d,6c,8h,5c,8d,1
5s,8c,4s,Td,Qc,0
Qs,2h,7s,9d,3d,0
9s,5c,5d,3h,2d,1
2c,9h,5s,6d,2s,1
Ad,Th,8c,5d,Kh,0
Qc,9s,Jc,Js,6s,1
5s,6s,Ks,8s,9h,4
7c,9s,4s,3d,8s,0
Kc,5c,Ks,Jd,6h,1
3h,8h,Jd,6c,8c,1
2h,5h,Ks,Kh,2c,2
Ad,2s,5s,6s,7s,0
7d,2s,Kc,3s,8c,0
4h,7s,Qs,Jh,7h,1
3s,Qh,Ac,2d,Ts,0
Jc,Ah,Kd,Td,9c,0
Kc,5c,9h,4c,Jc,0
9h,4c,2c,8c,Jd,0
3s,Qs,Jd,5c,9s,0
Jh,Kc,Qs,4c,Ac,0
6h,3d,Ad,Th,9c,0
Jh,Jd,Jc,Ac,2d,3
Ks,4s,8h,8c,Qh,1
6d,Td,Ah,9s,Tc,1
Th,Ah,Tc,Ts,3s,3
Ad,As,Tc,Qd,5d,1
As,2d,Ts,3c,Ac,1
7d,5s,4h,5c,Ah,1
5s,Jd,Ac,Ks,Jh,1
Tc,Qc,9s,9c,9h,3
Qs,3c,2h,5d,4d,0
Jd,Kc,2c,Ac,6s,0
Jc,2h,6s,Jd,7h,1
6c,2c,Tc,9d,8h,0
4c,3s,Jh,4h,5c,1
Qs,Qh,5s,9s,4s,1
8h,3s,4d,Js,Ac,0
As,7d,3h,8s,6s,0
Ah,8s,Qs,4c,2c,0
5d,4d,Ts,9c,Kd,0
6s,Qh,8h,Ac,As,1
Th,7h,7d,Qh,3c,1
6s,Qd,9d,Kd,9h,1
Qd,Jc,Qs,Ad,Ts,1
Td,6s,7c,6h,Tc,2
4s,2s,9h,Th,Ah,0
9d,Ad,9h,7d,Kh,1
4c,Qs,Qc,3s,2c,1
5h,6h,Qc,7s,6c,1
Qd,7d,4d,Kh,4s,1
Kd,4d,4s,7h,5s,1
Ac,Ah,2s,2d,8h,2
Qc,7d,7c,4c,4s,2
4c,As,3c,3h,Js,1
2d,Tc,6d,7c,4h,0
Qs,3h,5h,9s,Jd,0
5d,3s,6c,Ac,Ks,0
6d,9h,2h,Kd,5d,0
8c,Js,8d,9h,Kh,1
Ts,Qh,Qs,Tc,Ah,2
Ac,Jd,8d,5s,6s,0
Ad,Ah,3s,6c,Tc,1
Ts,Td,2h,Jc,3h,1
3h,5d,Qd,Kd,Tc,0
Qd,Jd,5c,5h,8c,1
5s,Qc,4s,8d,8c,1
8s,2h,Td,9h,Qh,4
Qh,2d,Ts,7d,Ac,0
Tc,2d,Qs,5c,Ts,1
Js,Kh,Th,As,4s,0
5c,8s,2c,6h,8h,1
6s,9h,5d,Ac,5h,1
Ad,8h,As,Qh,Ts,1
4d,Qd,7c,9d,8s,4
Kc,2d,6s,Qs,4c,0
9d,3h,Kh,Jd,5c,0
8c,6h,4h,Td,2d,0
Td,2h,3c,6h,As,4
Jd,Qc,4s,2s,Th,0
3s,6d,2s,Qh,2d,1
7d,7s,2h,9s,Qh,1
Th,Qh,2s,5c,7c,0
Th,4d,Qd,Qc,2c,1
3h,9c,3s,8h,6h,1
Kh,Qh,8c,4h,Jh,0
2h,4s,6s,4d,Kh,1
Qh,Jc,8s,3d,8c,1
3d,8c,Ts,3c,7h,1
7d,3d,2d,4c,4d,1
4c,6s,3s,6c,9s,1
4h,4d,5s,5d,Ts,2
Kd,4s,Ad,2d,8s,0
2d,Tc,Jc,8h,6c,4
9c,6s,Ks,2h,3s,0
Th,Ad,Ts,Kh,Jh,1
9h,Ks,8h,7h,Ah,0
Ah,Js,Kh,2c,6h,0
7d,5h,8s,7h,Tc,1
9c,Ts,7c,4h,2c,0
7s,Jd,2d,6h,2h,1
6d,4c,Jh,Js,8h,1
Kd,Kc,Qd,7h,4h,1
Ks,9c,Qc,6h,Th,0
5d,3c,4s,4h,5s,2
9c,Kh,4s,Qh,Kd,1
Ah,2s,4s,Js,2c,1
9s,Kh,8c,5c,Qh,0
2d,9c,Jc,8h,4d,0
7s,9d,9h,Ks,9s,3
8h,7h,5d,4c,5h,1
Qs,Ac,2d,8c,6h,0
7d,Ts,5s,5c,Jc,1
4d,Qd,9d,3c,3h,1
Ah,Tc,9c,6d,8s,0
9h,Kd,5d,6h,9s,1
Td,As,9d,8s,2h,0
4d,3c,9d,3h,3s,3
7h,Qd,2c,Js,3s,0
9d,Kh,5s,7h,6c,0
Qh,2d,7h,9h,6h,0
7d,4s,7c,7h,3s,3
2c,7s,9c,2h,Qs,1
9d,6c,Jh,Js,Jd,3
5h,7s,8h,As,4s,0
Qd,5d,7s,8d,8c,1
2h,5h,2s,7d,Td,1
4d,7d,7s,6h,6c,2
3h,8h,4h,5h,Ac,4
Td,7d,Kc,4s,Ts,1
2d,Ac,Kd,Qc,4s,0
3c,Jc,9s,2d,6h,0
6d,5h,Ac,9c,Td,4
9c,4h,Js,Jd,Kd,1
4s,6h,8c,9s,2s,0
Ad,Qs,2s,Qc,2c,2
7c,Ad,Ac,Js,5s,1
Jc,Qs,3d,As,8h,0
3s,9s,Ks,Js,9c,1
8c,Js,Qh,8d,Tc,1
Kh,6h,4d,9c,Ad,0
8c,As,Ah,6s,2h,1
Qd,Kc,Kd,8c,9s,1
4c,Th,8d,Kh,Jd,0
8h,Jc,Jh,Ac,5c,1
3s,8c,2c,5c,Kc,0
6s,6d,Ac,7c,3h,1
8s,4d,Qs,Js,6s,0
2d,4c,3h,3c,As,1
3c,Ks,8s,4c,Th,0
Kc,2d,Jh,2h,5d,1
Qs,6h,Kh,Ks,Ac,1
3h,Td,Th,Jd,7s,1
9s,3d,5c,2c,Kh,4
Qs,Kc,4s,9d,Jc,0
5d,Kh,6s,7c,7d,1
8s,Jd,6d,Qh,Ts,0
Th,Td,7d,9s,6h,1
5s,8s,4c,Tc,Ks,0
2s,3d,2c,Jd,Ac,1
Td,Ks,Ah,8s,4s,0
6c,6s,Jc,Jh,Js,6
Jc,2c,6d,Jd,7h,1
2c,Ah,Qd,Kh,Ad,1
9c,Ts,Kh,7s,Qc,0
Ah,Ks,Qc,8h,3d,0
6h,2d,9h,7s,2c,1
Ah,3h,2d,Tc,Qc,0
Ts,Td,8s,Ah,3h,1
Kh,Ks,2d,7d,4s,1
Ts,2d,Tc,2h,9s,2
5c,5s,Qc,7h,Jh,1
Jh,3s,3h,5d,4h,1
3c,5s,2d,Kh,Tc,0
7s,4d,8s,9d,Qh,0
Kc,5s,Ac,3s,4c,0
6s,Qd,Jc,3s,2d,0
2h,6h,Jh,Td,Qd,0
2c,3d,4c,3c,9d,1
9s,9c,Jc,3h,6h,1
5c,4d,Qs,3s,7d,0
Ad,Ts,5s,Jc,Th,1
Kc,Jc,Ks,Qd,Tc,1
9s,Kd,Ks,3h,Ad,1
Kc,9c,3d,4h,Js,0
8h,4c,Th,Qh,Qc,1
3s,5h,5s,6d,Qs,1
3h,Ah,2d,7c,4h,0
Ad,3s,4d,8d,3c,1
4d,Jc,6h,Jh,5c,1
6c,Qd,Kd,Qs,Qh,3
4c,8c,7c,3c,Qc,5
3c,2s,Ad,9d,4s,0
2d,9c,As,8d,3h,0
8s,3h,5d,Ah,7h,0
6c,6h,5c,9c,Jd,1
8c,6c,Ah,Kh,2s,0
Ad,7s,5h,Ks,9c,0
Js,9d,5c,Kd,Td,0
4d,As,8s,7s,Tc,0
2d,9s,4d,9h,Tc,1
2s,4h,7h,5h,8s,0
5c,Jd,9h,Qd,4h,0
4d,3d,8h,4c,Ac,1
5c,Td,9s,3h,9c,1
2h,5h,6d,Ts,Jh,0
5c,7s,7c,Qd,As,1
6s,4h,2s,9d,4d,1
7s,5s,Qh,6d,6s,1
4c,9c,Td,Ad,Qs,0
8h,6h,5c,6s,4h,1
Jd,4d,Td,Qc,Ks,0
Qc,7h,Ks,4h,8c,0
Kh,2h,Th,3d,As,0
Qh,5s,5c,Kc,Qc,2
Jc,9h,2s,9c,5c,1
9d,2c,5d,Ks,5h,1
7s,Qc,6d,8c,2s,0
2d,9d,4d,Qd,7d,5
As,4d,Ad,6c,Jd,1
Ah,Kc,2s,8h,2c,1
Jd,3s,5c,3d,Ts,1
5c,2s,Qc,As,5h,1
9c,2c,Jd,Ks,Kc,1
Tc,6c,3s,As,Qc,0
9d,4h,2s,6h,5s,0
Ts,Kh,6c,9d,3c,0
5s,Ac,4s,4d,3s,1
8c,Ah,8h,Qc,5c,1
As,7d,4c,7c,5s,1
2h,4h,2d,Qc,5c,1
Kc,2s,3d,Js,Ac,0
8c,2d,7s,5h,Qs,4
4s,8d,Qh,8s,6h,1
Td,7d,Ad,4h,9s,0
3c,4d,8d,5s,5c,1
2c,8c,Kc,As,7c,0
4h,8h,8c,3h,7h,1
2s,7h,7c,9s,6d,1
Kh,Kd,Ah,8d,2h,1
4c,4h,Kh,Jc,2c,1
Kc,9d,7h,8d,7s,1
5h,As,9c,Jh,7h,0
4c,Td,Kh,8s,Ad,0
Ks,8d,2s,6h,6d,1
7s,Qc,Ks,7h,3s,1
4s,8h,8c,9h,Js,1
3s,7h,Jd,As,Ah,1
Ad,Th,Qh,Js,Tc,1
5c,Ks,2h,Qd,3c,0
Ah,6c,9s,7s,3c,0
4h,Tc,5c,9d,7c,0
Ac,Ah,Ad,Jd,2d,3
Qd,9c,6h,Kc,3d,0
8s,Kh,Ah,8h,6s,1
Td,9c,3d,Qd,Jc,0
7s,Ac,6d,Qs,2s,0
8c,5s,Ah,4h,Ac,1
4d,4s,2d,9s,Qh,1
Qs,Ad,8c,6d,9s,0
9h,Tc,2s,2c,Qc,1
8d,5h,Ah,8c,Qd,1
Tc,4h,Qs,2d,Ac,4
6d,9s,Ah,Th,2h,0
2d,6c,2s,Tc,8c,1
9c,Kc,7h,8h,4d,0
Td,8c,Kh,5c,9s,0
9h,Qc,Kh,2s,Qs,1
3d,8d,Js,2d,8c,1
Qd,5c,2s,Qh,Jd,1
6c,7d,3s,3h,9s,1
3c,Kd,4s,7s,9h,0
Th,8c,Qc,7s,Tc,1
Jh,7d,7s,Js,5s,2
9c,5s,2c,2d,Qh,1
Kh,6d,3h,3c,Ad,1
3d,7c,Qs,Ad,6c,0
6h,6d,2d,9d,2c,2
8s,Jc,9h,7c,4d,0
4c,9d,2d,8s,Js,0
2d,6h,5c,Ks,Jd,0
Qd,6h,As,Tc,Js,0
7h,6h,7c,8h,Jd,1
7c,4c,Ah,9d,5s,0
Td,Th,Ad,Qh,As,2
Ah,2s,Ts,3c,5c,0
Kh,7d,8c,Jc,Tc,0
Jc,Kd,6h,2s,8s,0
9d,2h,8d,9h,3h,1
7h,3h,3d,6h,5d,1
9c,7c,Kc,Th,5s,0
Qc,8s,3c,7d,Qh,1
Jc,6d,4h,Td,Kh,0
4s,6c,5c,9s,3h,0
Kh,Qc,Qs,6d,2s,1
8h,5h,Th,9h,9c,1
7d,Qd,Kd,4s,Ac,0
3c,2s,Kd,3h,Td,1
Td,Ac,5h,Ah,7c,1
Tc,6c,6d,Jd,3d,1
Ks,8h,2s,7h,4c,0
4s,Ac,Tc,3s,Qd,0
Ad,7d,Jd,3s,Qd,0
7s,4c,8c,2s,Tc,0
Jh,7s,Qh,Ad,As,1
Jc,Kd,8d,7c,6s,0
Kd,Jc,7s,Th,8h,0
2d,7c,Kh,6d,Qc,0
9h,5h,7h,Td,2c,0
3s,8s,Tc,Kc,9c,0
2d,9d,2s,6d,Jh,1
5d,9d,Ts,Js,Jc,1
4c,Kc,2s,Th,3c,0
8h,Qd,4h,9c,2c,0
8c,Jh,3h,4d,7c,0
4s,9h,7d,2s,7s,1
6h,Kc,Jh,Jc,2s,1
Th,Qc,8h,Kh,4h,0
5c,Qh,9c,4s,Ah,0
9c,Kd,9s,4s,6h,1
Qs,3h,7c,As,3s,1
Td,7s,5h,7c,8d,1
Kh,3s,6s,As,2h,0
4s,5c,3h,Ac,5h,1
9s,9h,Ac,6s,6d,2
Ah,Qs,3c,2d,Qc,1
8d,Qd,3s,6c,Kc,0
7h,6d,7d,Ad,5s,1
3c,8h,Td,6h,7c,4
3c,8c,2s,3s,4h,1
5s,3h,Ac,Qs,Kc,0
7c,6h,2d,5d,Td,0
Ad,Js,Qs,5c,7s,0
9d,4c,Js,As,6c,0
As,Ah,6s,8d,Ts,1
8d,5d,Jh,Td,2h,0
4c,7c,Kd,4h,3h,1
5h,9s,Jd,5s,Js,2
3h,7d,Ts,6h,As,0
Ks,8h,4s,Ad,9s,0
Js,9h,6s,9d,2d,1
4c,6d,Jd,Ts,Tc,1
2d,Kc,7c,9h,2c,1
Ks,2d,7h,6s,Qc,0
4s,Jd,3d,2d,9d,0
5s,2s,As,5d,Kh,1
7s,Qs,Tc,5s,6d,0
7h,8d,Kd,3d,9s,0
2c,4h,Td,9d,7c,0
3h,5h,4c,9d,Ts,0
4d,Qh,5h,5c,9s,1
4h,8c,Td,Ts,4c,2
Jc,Kd,4c,5s,Tc,0
5s,5d,6c,9c,9h,2
